model,step,score,reward,fires
Dueling Double DQN,56567,-18.0,-128.28973810826096,9
Dueling Double DQN,56796,-4.0,-114.28979465312158,12
Dueling Double DQN,57025,-26.0,-136.29818233896944,13
Dueling Double DQN,57254,-16.0,-126.30436558447775,8
Dueling Double DQN,57483,-16.0,-126.295382675389,8
Dueling Double DQN,57712,-18.0,-128.25757579762424,9
Dueling Double DQN,57941,-20.0,-130.30120206157312,10
Dueling Double DQN,58170,0.0,-110.28679538366482,10
Dueling Double DQN,58399,-14.0,-123.68200610885017,7
Dueling Double DQN,58628,-20.0,-130.31298398312956,10
Dueling Double DQN,58857,-18.0,-128.30857621064553,9
Dueling Double DQN,59086,-20.0,-130.29871536438992,10
Dueling Double DQN,59315,0.0,-110.28830066565406,10
Dueling Double DQN,59544,-26.0,-136.30297071123826,13
Dueling Double DQN,59773,-10.0,-120.29086868484039,5
Dueling Double DQN,60002,-14.0,-124.30132566997209,7
Dueling Double DQN,60231,-16.0,-126.27678551186723,8
Dueling Double DQN,60460,-12.0,-122.29587775112472,6
Dueling Double DQN,60689,-12.0,-122.27379083388973,6
Dueling Double DQN,60918,-18.0,-128.30250756960103,9
Dueling Double DQN,61147,10.0,-100.2896782684739,5
Dueling Double DQN,61376,-10.0,-120.29413241651748,5
Dueling Double DQN,61605,-12.0,-122.29666373120685,6
Dueling Double DQN,61834,-14.0,-124.30347073834605,7
Dueling Double DQN,62063,0.0,-110.25413033875502,10
Dueling Double DQN,62292,-4.0,-114.27038474546623,2
Dueling Double DQN,62521,-16.0,-126.30962677320102,8
Dueling Double DQN,62750,8.0,-102.2833288771649,6
Dueling Double DQN,62979,-8.0,-118.30648193702714,4
Dueling Double DQN,63208,-8.0,-118.29736707830402,4
Dueling Double DQN,63437,-12.0,-122.30241522086348,6
Dueling Double DQN,63666,-10.0,-120.2792864869639,5
Dueling Double DQN,63895,-16.0,-126.30382253636802,8
Dueling Double DQN,64124,-18.0,-128.27925021088643,9
Dueling Double DQN,64353,-6.0,-116.29139859723911,3
Dueling Double DQN,64582,-8.0,-118.28822877268948,4
Dueling Double DQN,64811,-12.0,-122.29617276860982,6
Dueling Double DQN,65040,-16.0,-126.29391740961725,8
Dueling Double DQN,65269,-8.0,-118.28400188792735,4
Dueling Double DQN,65498,-6.0,-116.27795852732612,3
Dueling Double DQN,65727,-6.0,-116.28327763287359,3
Dueling Double DQN,65956,-4.0,-114.28434839602858,2
Dueling Double DQN,66185,-10.0,-120.29494472143273,5
Dueling Double DQN,66414,-4.0,-114.30287216033594,2
Dueling Double DQN,66643,-6.0,-116.29500330800964,3
Dueling Double DQN,66872,-8.0,-118.290237244189,4
Dueling Double DQN,67101,-10.0,-120.29568384069961,5
Dueling Double DQN,67330,-6.0,-116.30968747850658,3
Dueling Double DQN,67559,-10.0,-120.3036510674458,5
Dueling Double DQN,67788,-8.0,-117.9603860872647,4
Dueling Double DQN,68017,-12.0,-122.31711212787572,6
Dueling Double DQN,68246,-8.0,-118.30214650542014,4
Dueling Double DQN,68475,-10.0,-120.27970068790445,5
Dueling Double DQN,68704,-4.0,-114.29979815453719,2
Dueling Double DQN,68933,-6.0,-116.3097692568312,3
Dueling Double DQN,69162,-4.0,-114.3053266394669,2
Dueling Double DQN,69391,-6.0,-116.2972257706637,3
Dueling Double DQN,69620,0.0,-110.3035710061807,0
Dueling Double DQN,69849,-4.0,-114.29139618532233,2
Dueling Double DQN,70078,-6.0,-116.30517745121102,3
Dueling Double DQN,70307,-6.0,-116.27019205880086,3
Dueling Double DQN,70536,-2.0,-112.31326948652402,1
Dueling Double DQN,70765,-2.0,-112.29883963968376,1
Dueling Double DQN,70994,-8.0,-118.29844166541696,4
Dueling Double DQN,71223,-6.0,-116.30726160198935,3
Dueling Double DQN,71452,-6.0,-116.29501464550503,3
Dueling Double DQN,71681,16.0,-94.28651302916614,2
Dueling Double DQN,71910,-6.0,-116.13240964524958,3
Dueling Double DQN,72139,-6.0,-116.29215742911403,3
Dueling Double DQN,72368,-4.0,-114.29681443237993,2
Dueling Double DQN,72597,-4.0,-114.29919674437049,2
Dueling Double DQN,72826,-2.0,-112.28682685597718,1
Dueling Double DQN,73055,-2.0,-112.30271972185771,1
Dueling Double DQN,73284,-8.0,-118.29280866231935,4
Dueling Double DQN,73513,-4.0,-114.2935107416993,2
Dueling Double DQN,73742,-4.0,-114.25623917711478,2
Dueling Double DQN,73971,-10.0,-120.29570291969407,5
Dueling Double DQN,74200,0.0,-110.3085691164236,0
Dueling Double DQN,74429,-2.0,-112.2990648758584,1
Dueling Double DQN,74658,0.0,-110.28385842094913,0
Dueling Double DQN,74887,-4.0,-114.29537798750289,2
Dueling Double DQN,75116,-2.0,-112.17357525846708,1
Dueling Double DQN,75345,-2.0,-112.29344100766748,1
Dueling Double DQN,75574,-10.0,-120.28031036113529,5
Dueling Double DQN,75803,-2.0,-112.30978056011162,1
Dueling Double DQN,76032,-4.0,-114.30301615357871,2
Dueling Double DQN,76261,14.0,-96.23999069856104,3
Dueling Double DQN,76490,0.0,-110.28536346646334,0
Dueling Double DQN,76719,0.0,-110.28930627821161,0
Dueling Double DQN,76948,-4.0,-114.2848226314052,2
Dueling Double DQN,77177,-4.0,-114.29284511659984,2
Dueling Double DQN,77406,-8.0,-118.28254434184322,4
Dueling Double DQN,77635,-4.0,-114.29533467813219,2
Dueling Double DQN,77864,0.0,-110.26665424245607,0
Dueling Double DQN,78093,-6.0,-116.30058029524609,3
Dueling Double DQN,78322,-2.0,-112.27974039027107,1
Dueling Double DQN,78551,-6.0,-116.29399122045679,3
Dueling Double DQN,78780,-4.0,-114.27431745024964,2
Dueling Double DQN,79009,-6.0,-116.29034880351597,3
Dueling Double DQN,79238,0.0,-110.2934168493943,0
Dueling Double DQN,79467,-8.0,-118.27996524257321,4
Dueling Double DQN,79697,-2.0,-112.22170791624102,1
Dueling Double DQN,79926,-6.0,-116.30451800821113,3
Dueling Double DQN,80155,-2.0,-112.28878760828626,1
Dueling Double DQN,80384,-6.0,-116.31498422234847,3
Dueling Double DQN,80613,-2.0,-112.29838002537514,1
Dueling Double DQN,80842,-4.0,-114.28528315145624,2
Dueling Double DQN,81071,-4.0,-114.29625937184942,2
Dueling Double DQN,81300,-4.0,-114.30102873231708,2
Dueling Double DQN,81529,0.0,-110.28454607102645,0
Dueling Double DQN,81758,-8.0,-118.28596185725347,4
Dueling Double DQN,81987,-2.0,-112.28601135612749,1
Dueling Double DQN,82216,-6.0,-116.25734340571626,3
Dueling Double DQN,82445,-6.0,-116.29989144238759,3
Dueling Double DQN,82674,-6.0,-116.30015809455655,3
Dueling Double DQN,82903,-2.0,-112.28753879752747,1
Dueling Double DQN,83132,-4.0,-114.28620291855873,2
Dueling Double DQN,83361,-4.0,-114.27148591006066,2
Dueling Double DQN,83590,-6.0,-116.30514513463159,3
Dueling Double DQN,83819,0.0,-110.31775610613374,0
Dueling Double DQN,84048,0.0,-110.30262608029928,0
Dueling Double DQN,84277,0.0,-110.2942287149719,0
Dueling Double DQN,84506,-8.0,-118.2945677496881,4
Dueling Double DQN,84735,-4.0,-114.28801235273096,2
Dueling Double DQN,84964,-4.0,-114.28566084304734,2
Dueling Double DQN,85193,0.0,-110.29973303922134,0
Dueling Double DQN,85422,-4.0,-114.28971494833256,2
Dueling Double DQN,85651,-4.0,-114.29927022259015,2
Dueling Double DQN,85880,-2.0,-112.2973678479734,1
Dueling Double DQN,86109,-4.0,-114.29348649327581,2
Dueling Double DQN,86338,16.0,-94.30313956278869,2
Dueling Double DQN,86567,-2.0,-112.28579644381887,1
Dueling Double DQN,86796,-2.0,-112.27661838582051,1
Dueling Double DQN,87025,0.0,-110.29708095648587,0
Dueling Double DQN,87254,-2.0,-112.28158585169732,1
Dueling Double DQN,87483,-14.0,-124.31405255426225,7
Dueling Double DQN,87712,-6.0,-116.29992588599131,3
Dueling Double DQN,87941,-6.0,-116.30717888949445,3
Dueling Double DQN,88170,-2.0,-112.30420476970238,1
Dueling Double DQN,88399,-6.0,-116.28908158322734,3
Dueling Double DQN,88628,-4.0,-114.2911716445624,2
Dueling Double DQN,88857,-2.0,-112.28103082570262,1
Dueling Double DQN,89086,0.0,-109.7114652448758,0
Dueling Double DQN,89315,-10.0,-120.31778059981762,5
Dueling Double DQN,89544,-2.0,-112.30578848107103,1
Dueling Double DQN,89773,-6.0,-116.29917184909722,3
Dueling Double DQN,90002,-2.0,-112.29807183838425,1
Dueling Double DQN,90231,-4.0,-114.28280774086656,2
Dueling Double DQN,90460,-2.0,-112.29879038063015,1
Dueling Double DQN,90689,-4.0,-114.27992158809535,2
Dueling Double DQN,90918,-2.0,-112.30392533542557,1
Dueling Double DQN,91147,-10.0,-120.28235614766906,5
Dueling Double DQN,91376,-8.0,-118.28207098755477,4
Dueling Double DQN,91605,-8.0,-118.29694457985937,4
Dueling Double DQN,91834,-2.0,-112.2955206593449,1
Dueling Double DQN,92063,-4.0,-114.28182324323592,2
Dueling Double DQN,92292,0.0,-110.28816501356697,0
Dueling Double DQN,92521,-4.0,-114.29734213568034,2
Dueling Double DQN,92750,-4.0,-114.29299355868143,2
Dueling Double DQN,92979,-2.0,-112.2884492106665,1
Dueling Double DQN,93208,0.0,-110.30659948320313,0
Dueling Double DQN,93437,-4.0,-114.30251723502194,2
Dueling Double DQN,93666,-4.0,-114.27630579834813,2
Dueling Double DQN,93895,-10.0,-120.29617799641018,5
Dueling Double DQN,94124,-4.0,-114.30752983881905,2
Dueling Double DQN,94353,-2.0,-112.30380992410454,1
Dueling Double DQN,94582,0.0,-110.29739607296452,0
Dueling Double DQN,94811,-6.0,-116.3052570273029,3
Dueling Double DQN,95040,-6.0,-116.29432277667566,3
Dueling Double DQN,95269,-2.0,-112.30428862921778,1
Dueling Double DQN,95498,-4.0,-114.2942391063512,2
Dueling Double DQN,95727,-4.0,-114.28030463531871,2
Dueling Double DQN,95956,-2.0,-112.28951965218963,1
Dueling Double DQN,96185,0.0,-110.29797947111308,0
Dueling Double DQN,96414,-2.0,-112.3059132886198,1
Dueling Double DQN,96643,-4.0,-114.24701258540512,2
Dueling Double DQN,96872,-4.0,-114.3124434919315,2
Dueling Double DQN,97101,0.0,-110.3119965685628,0
Dueling Double DQN,97330,0.0,-110.29088390028929,0
Dueling Double DQN,97559,-2.0,-112.31865178947406,1
Dueling Double DQN,97788,-4.0,-114.29583797628024,2
Dueling Double DQN,98017,-10.0,-120.29547994125488,5
Dueling Double DQN,98246,0.0,-110.30070491386783,0
Dueling Double DQN,98475,-8.0,-118.26517632559018,4
Dueling Double DQN,98704,-18.0,-128.2974964175514,9
Dueling Double DQN,98933,-2.0,-112.29265612873535,1
Dueling Double DQN,99162,-2.0,-112.29071169583737,1
Dueling Double DQN,99391,-6.0,-116.29760180146427,3
Dueling Double DQN,99620,-2.0,-112.30184479290904,1
Dueling Double DQN,99849,-6.0,-116.29588636420584,3
