model,step,score,reward,fires
Dueling Double DQN,38480,-70.0,-180.29168921700756,35
Dueling Double DQN,38709,-72.0,-182.31625979359487,36
Dueling Double DQN,38938,-46.0,-156.2750644923381,23
Dueling Double DQN,39167,-68.0,-178.2809980411027,34
Dueling Double DQN,39396,-70.0,-180.29216594183055,35
Dueling Double DQN,39625,-96.0,-206.29219343827438,48
Dueling Double DQN,39854,-42.0,-152.29101546356102,31
Dueling Double DQN,40083,-94.0,-204.3046419177744,47
Dueling Double DQN,40312,-66.0,-176.31073220566657,33
Dueling Double DQN,40541,-60.0,-170.2933389325235,40
Dueling Double DQN,40770,-66.0,-176.30278712295188,33
Dueling Double DQN,40999,-46.0,-156.31903034306873,33
Dueling Double DQN,41228,-52.0,-162.2701179549718,26
Dueling Double DQN,41457,-70.0,-180.28792569976082,35
Dueling Double DQN,41686,-56.0,-166.29596136274512,38
Dueling Double DQN,41915,-58.0,-168.30358072125046,29
Dueling Double DQN,42144,-36.0,-146.26503961626193,28
Dueling Double DQN,42373,-84.0,-194.30100355892716,42
Dueling Double DQN,42602,-66.0,-176.3000796940687,33
Dueling Double DQN,42831,-64.0,-174.28345067161817,32
Dueling Double DQN,43060,-46.0,-156.1856615798294,33
Dueling Double DQN,43289,-64.0,-174.29256636031027,32
Dueling Double DQN,43518,-56.0,-166.292430510067,28
Dueling Double DQN,43747,-66.0,-176.29502044119516,33
Dueling Double DQN,43976,-84.0,-194.30071661799522,42
Dueling Double DQN,44205,-60.0,-170.28884064291321,40
Dueling Double DQN,44434,-76.0,-186.2905564834046,48
Dueling Double DQN,44663,-66.0,-176.31017135525605,33
Dueling Double DQN,44892,-72.0,-182.29731030868913,36
Dueling Double DQN,45121,-48.0,-158.29155030868466,24
Dueling Double DQN,45350,-58.0,-168.30273909166317,29
Dueling Double DQN,45579,-64.0,-174.2806162046768,32
Dueling Double DQN,45808,-58.0,-168.28040260872623,39
Dueling Double DQN,46037,-84.0,-194.30235426332996,42
Dueling Double DQN,46266,-50.0,-160.29042422114696,25
Dueling Double DQN,46495,-52.0,-162.29790771097748,36
Dueling Double DQN,46724,-58.0,-168.29194085414656,29
Dueling Double DQN,46953,-64.0,-174.2854154926411,42
Dueling Double DQN,47182,-66.0,-176.2949882283873,33
Dueling Double DQN,47411,-44.0,-154.28076718332886,32
Dueling Double DQN,47640,-56.0,-166.29273996654945,38
Dueling Double DQN,47869,-46.0,-156.2927140385034,33
Dueling Double DQN,48098,-48.0,-157.96342204396834,34
Dueling Double DQN,48327,-52.0,-162.278042308681,36
Dueling Double DQN,48556,-78.0,-188.30146632206947,39
Dueling Double DQN,48785,-68.0,-178.28465971774108,34
Dueling Double DQN,49014,-78.0,-188.3132199250024,39
Dueling Double DQN,49243,-70.0,-180.2889962060009,35
Dueling Double DQN,49472,-60.0,-170.26724012012838,30
Dueling Double DQN,49701,-34.0,-144.28487261768848,27
Dueling Double DQN,49930,-38.0,-148.2798151562485,29
Dueling Double DQN,50159,-28.0,-138.30935642168163,24
Dueling Double DQN,50388,-80.0,-190.27582503841882,40
Dueling Double DQN,50617,-58.0,-168.3019945809093,29
Dueling Double DQN,50846,-46.0,-156.29634677041355,33
Dueling Double DQN,51075,-48.0,-158.29821252852966,34
Dueling Double DQN,51304,-62.0,-172.29145773821,31
Dueling Double DQN,51533,-64.0,-174.2987588270832,42
Dueling Double DQN,51762,-64.0,-174.30750836637085,32
Dueling Double DQN,51991,-96.0,-206.28510957317883,48
Dueling Double DQN,52220,-56.0,-166.32175403273789,38
Dueling Double DQN,52449,-74.0,-184.26731762124814,37
Dueling Double DQN,52678,-58.0,-168.29762392350403,29
Dueling Double DQN,52907,-56.0,-166.30075064408155,28
Dueling Double DQN,53136,-50.0,-160.31297331553327,35
Dueling Double DQN,53365,-80.0,-190.29294041495726,40
Dueling Double DQN,53594,-32.0,-142.30929548894827,26
Dueling Double DQN,53824,-66.0,-176.03946099667064,33
Dueling Double DQN,54053,-78.0,-188.29049603511106,39
Dueling Double DQN,54282,-58.0,-168.2957148619537,29
Dueling Double DQN,54511,-64.0,-174.28504644161367,32
Dueling Double DQN,54740,-78.0,-188.2851631865247,39
Dueling Double DQN,54969,-28.0,-138.28148583466077,24
Dueling Double DQN,55198,-58.0,-168.27615619057934,39
Dueling Double DQN,55427,-56.0,-166.30023172029985,38
Dueling Double DQN,55656,-64.0,-174.30158778601395,32
Dueling Double DQN,55885,-74.0,-184.30059723545276,37
Dueling Double DQN,56114,-62.0,-172.30143362953106,31
Dueling Double DQN,56343,-46.0,-156.30020506872276,33
Dueling Double DQN,56572,-66.0,-176.30914820184182,33
Dueling Double DQN,56801,-32.0,-142.11162239543887,36
Dueling Double DQN,57030,-82.0,-192.28868378834883,41
Dueling Double DQN,57259,-60.0,-170.29938972334514,30
Dueling Double DQN,57488,-68.0,-178.3030671570241,34
Dueling Double DQN,57717,-38.0,-148.30653377744488,19
Dueling Double DQN,57946,-56.0,-166.2744207223314,28
Dueling Double DQN,58175,-44.0,-154.29456370096284,32
Dueling Double DQN,58404,-70.0,-180.29144362972397,35
Dueling Double DQN,58633,-68.0,-178.29535765206018,34
Dueling Double DQN,58862,-58.0,-168.30190215287976,29
Dueling Double DQN,59091,-64.0,-174.30922634182735,32
Dueling Double DQN,59320,-48.0,-158.29197888530564,44
Dueling Double DQN,59549,-72.0,-182.29940345488774,36
Dueling Double DQN,59778,-48.0,-158.29017128893983,24
Dueling Double DQN,60007,-84.0,-194.3105476840522,42
Dueling Double DQN,60238,-58.0,-168.06636348780836,29
Dueling Double DQN,60467,-44.0,-154.28175048793702,32
Dueling Double DQN,60696,-76.0,-186.29064023126114,38
Dueling Double DQN,60925,-56.0,-166.28706351553387,28
Dueling Double DQN,61154,-64.0,-174.29710419610433,32
Dueling Double DQN,61383,-44.0,-154.29513660844356,32
Dueling Double DQN,61612,-64.0,-174.30021361076064,42
Dueling Double DQN,61841,-54.0,-164.30719477922375,37
Dueling Double DQN,62070,-56.0,-166.283744608255,28
Dueling Double DQN,62299,-70.0,-180.31360994566916,35
Dueling Double DQN,62528,-32.0,-142.3010631447562,26
Dueling Double DQN,62757,-72.0,-182.29446280334008,36
Dueling Double DQN,62986,-56.0,-166.31466622930066,28
Dueling Double DQN,63215,-60.0,-170.2875553040937,30
Dueling Double DQN,63444,-58.0,-168.30134322914617,29
Dueling Double DQN,63673,-42.0,-152.28839062082633,31
Dueling Double DQN,63902,-74.0,-184.29096375895517,37
Dueling Double DQN,64131,-56.0,-166.2920571280373,28
Dueling Double DQN,64360,-56.0,-166.26903393706237,28
Dueling Double DQN,64589,-48.0,-158.2874378640178,34
Dueling Double DQN,64818,-64.0,-174.2871971884353,32
Dueling Double DQN,65047,-54.0,-164.28857922933278,37
Dueling Double DQN,65276,-54.0,-164.2831158488791,27
Dueling Double DQN,65505,-76.0,-186.30402222502397,38
Dueling Double DQN,65734,-40.0,-150.2926532606508,30
Dueling Double DQN,65964,-36.0,-146.24525646703702,38
Dueling Double DQN,66193,-50.0,-160.2974967518627,25
Dueling Double DQN,66422,-46.0,-156.3046622056573,33
Dueling Double DQN,66651,-58.0,-168.2904810836264,29
Dueling Double DQN,66880,-58.0,-168.29218378506266,29
Dueling Double DQN,67109,-70.0,-180.29395737454445,35
Dueling Double DQN,67338,-70.0,-180.29256994635762,35
Dueling Double DQN,67567,-34.0,-144.29619830751352,27
Dueling Double DQN,67796,-74.0,-184.3243345796534,37
Dueling Double DQN,68025,-40.0,-150.28512140574756,30
Dueling Double DQN,68254,-42.0,-152.289629361892,31
Dueling Double DQN,68483,-84.0,-194.30262206464914,42
Dueling Double DQN,68712,-56.0,-166.31057682662004,28
Dueling Double DQN,68941,-56.0,-166.2961636076671,28
Dueling Double DQN,69170,-52.0,-162.28775145806165,26
Dueling Double DQN,69399,-62.0,-172.3116039071074,31
Dueling Double DQN,69628,-62.0,-172.28419855613146,31
Dueling Double DQN,69857,-78.0,-188.2760737366625,39
Dueling Double DQN,70086,-74.0,-184.28908370235058,37
Dueling Double DQN,70315,-62.0,-172.29843096675827,31
Dueling Double DQN,70544,-84.0,-194.2814405668787,42
Dueling Double DQN,70773,-40.0,-150.29297626711906,30
Dueling Double DQN,71002,-60.0,-170.3156477774279,30
Dueling Double DQN,71231,-48.0,-158.30593148632016,34
Dueling Double DQN,71462,-58.0,-168.0067348980984,29
Dueling Double DQN,71691,-60.0,-170.29595348472114,30
Dueling Double DQN,71920,-86.0,-196.3047443390633,43
Dueling Double DQN,72149,-46.0,-156.2708424966247,33
Dueling Double DQN,72378,-68.0,-178.29338836753368,34
Dueling Double DQN,72607,-60.0,-170.30118310079084,40
Dueling Double DQN,72836,-58.0,-168.3059281486122,39
Dueling Double DQN,73065,-52.0,-162.28808306623247,26
Dueling Double DQN,73294,-60.0,-170.29516953067292,40
Dueling Double DQN,73523,-52.0,-162.3018234013361,26
Dueling Double DQN,73752,-52.0,-162.30612089970413,26
Dueling Double DQN,73981,-68.0,-178.27443960559498,34
Dueling Double DQN,74210,-44.0,-154.2807804545223,22
Dueling Double DQN,74439,-46.0,-156.25454087508967,23
Dueling Double DQN,74668,-40.0,-150.30010419381367,30
Dueling Double DQN,74897,-70.0,-180.3006171347729,35
Dueling Double DQN,75126,-30.0,-140.30887960035807,25
Dueling Double DQN,75355,-66.0,-176.29901659009062,33
Dueling Double DQN,75584,-68.0,-178.29573607510787,34
Dueling Double DQN,75813,-68.0,-178.2903492783876,34
Dueling Double DQN,76044,-30.0,-140.3180679527669,25
Dueling Double DQN,76273,-74.0,-184.30085533922204,37
Dueling Double DQN,76502,-52.0,-162.27736605003014,26
Dueling Double DQN,76731,-62.0,-172.30243762164574,31
Dueling Double DQN,76960,-46.0,-156.30821287659145,23
Dueling Double DQN,77189,-70.0,-180.29755730990297,35
Dueling Double DQN,77418,-54.0,-164.30581623899386,37
Dueling Double DQN,77647,-56.0,-166.23883677466367,38
Dueling Double DQN,77876,-66.0,-176.27657311999138,33
Dueling Double DQN,78105,-64.0,-174.28138277337183,32
Dueling Double DQN,78334,-68.0,-178.30438085763063,34
Dueling Double DQN,78563,-52.0,-162.30155067342906,26
Dueling Double DQN,78792,-38.0,-148.2950479119079,29
Dueling Double DQN,79021,-70.0,-180.28953232562336,35
Dueling Double DQN,79250,-62.0,-172.29234285068773,31
Dueling Double DQN,79479,-34.0,-144.3064085161314,27
Dueling Double DQN,79708,-84.0,-194.2918540675883,42
Dueling Double DQN,79937,-68.0,-178.28804316904439,34
Dueling Double DQN,80166,-54.0,-164.30119397907083,27
Dueling Double DQN,80395,-56.0,-166.3076651554078,28
Dueling Double DQN,80624,-62.0,-172.29394600901435,31
Dueling Double DQN,80853,-54.0,-164.30524798502614,37
Dueling Double DQN,81082,-46.0,-156.2973144158069,23
Dueling Double DQN,81311,-44.0,-154.30571683373228,22
Dueling Double DQN,81540,-54.0,-164.30792242514343,27
Dueling Double DQN,81769,-72.0,-182.29778705905926,36
Dueling Double DQN,81998,-68.0,-178.30438075893704,34
Dueling Double DQN,82227,-40.0,-150.2713982154035,30
Dueling Double DQN,82456,-48.0,-158.282216005225,34
Dueling Double DQN,82685,-52.0,-162.2988847573425,26
Dueling Double DQN,82914,-72.0,-182.30496042785697,36
Dueling Double DQN,83143,-44.0,-154.2899779273363,22
Dueling Double DQN,83372,-80.0,-190.28266537659823,40
Dueling Double DQN,83601,-56.0,-166.29557560604468,28
Dueling Double DQN,83830,-36.0,-146.29960890949968,28
Dueling Double DQN,84059,-62.0,-172.29096462421552,31
Dueling Double DQN,84288,-50.0,-160.28867258059876,35
Dueling Double DQN,84517,-36.0,-146.25496378604313,28
Dueling Double DQN,84746,-44.0,-154.31488022537334,22
Dueling Double DQN,84975,-48.0,-158.30136489650442,24
Dueling Double DQN,85204,-62.0,-172.29774901282605,31
Dueling Double DQN,85433,-60.0,-170.29283245229124,30
Dueling Double DQN,85662,-58.0,-168.28133594092782,39
Dueling Double DQN,85891,-40.0,-150.28691598993979,20
Dueling Double DQN,86120,-52.0,-162.30169906239107,26
Dueling Double DQN,86349,-66.0,-176.29356326031814,33
Dueling Double DQN,86578,-58.0,-168.29942273428173,29
Dueling Double DQN,86807,-76.0,-186.28997878856126,38
