model,step,score,reward,fires
Dueling Double DQN,50160,-18.0,-128.31088675087338,9
Dueling Double DQN,50389,-10.0,-120.30385504559843,5
Dueling Double DQN,50618,-18.0,-128.2952360095775,9
Dueling Double DQN,50847,-16.0,-126.29887433312854,8
Dueling Double DQN,51076,-6.0,-116.29143803375337,3
Dueling Double DQN,51305,-20.0,-130.29444029993243,10
Dueling Double DQN,51534,-16.0,-126.30549511379385,8
Dueling Double DQN,51763,-10.0,-120.28749369261243,5
Dueling Double DQN,51992,-12.0,-122.26103653735538,6
Dueling Double DQN,52221,-8.0,-118.29486793055561,4
Dueling Double DQN,52450,-4.0,-114.29935618118563,2
Dueling Double DQN,52679,-14.0,-124.2789152215891,7
Dueling Double DQN,52908,-10.0,-120.2848333017948,5
Dueling Double DQN,53137,-6.0,-116.29969754701152,3
Dueling Double DQN,53366,-6.0,-116.31119657260177,3
Dueling Double DQN,53595,-6.0,-116.31122787734806,3
Dueling Double DQN,53824,-2.0,-112.28617367862026,1
Dueling Double DQN,54053,-8.0,-118.26705791446672,4
Dueling Double DQN,54282,-8.0,-118.29302341852403,4
Dueling Double DQN,54511,-6.0,-116.31064440632389,3
Dueling Double DQN,54740,-2.0,-112.3116051652148,1
Dueling Double DQN,54969,-10.0,-120.28649284569724,5
Dueling Double DQN,55198,-6.0,-116.28199731098624,3
Dueling Double DQN,55427,-8.0,-118.30119074393681,4
Dueling Double DQN,55656,0.0,-110.29531397502677,0
Dueling Double DQN,55885,-6.0,-115.7187800409327,3
Dueling Double DQN,56114,0.0,-110.30666545089943,0
Dueling Double DQN,56343,0.0,-110.30488346010237,0
Dueling Double DQN,56572,-2.0,-112.30612636044589,1
Dueling Double DQN,56801,-6.0,-116.26174783135914,3
Dueling Double DQN,57030,-10.0,-120.29728764946736,5
Dueling Double DQN,57259,0.0,-110.28830733122564,0
Dueling Double DQN,57488,-4.0,-114.30830187735728,2
Dueling Double DQN,57717,-4.0,-114.29620716599848,2
Dueling Double DQN,57946,-2.0,-112.29637620159971,1
Dueling Double DQN,58175,-8.0,-118.28655256637428,4
Dueling Double DQN,58404,0.0,-110.29424025287665,0
Dueling Double DQN,58633,0.0,-110.30493054458137,0
Dueling Double DQN,58862,-4.0,-114.29322173840117,2
Dueling Double DQN,59091,-6.0,-116.29619232317096,3
