model,step,score,reward,fires
Dueling Double DQN,36186,-60.0,-170.31683543728496,30
Dueling Double DQN,36415,-58.0,-168.29703681435404,39
Dueling Double DQN,36644,-46.0,-156.29380349935911,33
Dueling Double DQN,36873,-80.0,-190.29160584683518,40
Dueling Double DQN,37102,-64.0,-174.29240758532563,32
Dueling Double DQN,37331,-92.0,-202.30015627876656,46
Dueling Double DQN,37560,-74.0,-184.28322306964748,37
Dueling Double DQN,37789,-82.0,-192.2589882492275,41
Dueling Double DQN,38018,-44.0,-154.29333423295583,22
Dueling Double DQN,38247,-84.0,-194.27961689391827,42
Dueling Double DQN,38476,-94.0,-204.29987335316844,47
Dueling Double DQN,38705,-76.0,-186.29192329038534,38
Dueling Double DQN,38934,-66.0,-176.29506748956294,33
Dueling Double DQN,39163,-60.0,-170.2863916833311,30
Dueling Double DQN,39392,-44.0,-154.29005795602436,32
Dueling Double DQN,39621,-56.0,-166.28171348273986,28
Dueling Double DQN,39850,-50.0,-160.28615833599537,35
Dueling Double DQN,40079,-80.0,-190.28450690187694,40
Dueling Double DQN,40308,-62.0,-172.2620864570025,31
Dueling Double DQN,40537,-68.0,-178.3024930960488,34
Dueling Double DQN,40766,-68.0,-178.28973682135816,34
Dueling Double DQN,40995,-70.0,-180.30925937353908,45
Dueling Double DQN,41224,-78.0,-188.31107805626797,39
Dueling Double DQN,41454,-66.0,-176.23615830957016,43
Dueling Double DQN,41683,-54.0,-164.2857114637734,37
Dueling Double DQN,41912,-54.0,-164.28647780161467,37
Dueling Double DQN,42141,-54.0,-164.2964625268064,37
Dueling Double DQN,42370,-88.0,-198.30221454082488,44
Dueling Double DQN,42599,-90.0,-200.30239450681313,45
Dueling Double DQN,42828,-60.0,-170.08687155247435,30
Dueling Double DQN,43057,-68.0,-178.3051695886655,34
Dueling Double DQN,43286,-78.0,-188.30260348238636,39
Dueling Double DQN,43515,-40.0,-150.29837177502083,30
Dueling Double DQN,43744,-54.0,-164.30463432191056,27
Dueling Double DQN,43973,-68.0,-178.2879246571007,44
Dueling Double DQN,44202,-74.0,-184.31017906130904,47
Dueling Double DQN,44431,-46.0,-156.284219096095,33
Dueling Double DQN,44660,-60.0,-170.29526668985034,40
Dueling Double DQN,44889,-46.0,-156.3138505600715,33
Dueling Double DQN,45118,-62.0,-172.29769721600067,41
Dueling Double DQN,45347,-82.0,-192.2772535983397,41
Dueling Double DQN,45576,-74.0,-184.3018347572267,37
Dueling Double DQN,45805,-40.0,-150.2897419409347,30
Dueling Double DQN,46034,-60.0,-170.3046532437336,30
Dueling Double DQN,46263,-72.0,-182.30646783623314,36
Dueling Double DQN,46492,-80.0,-190.30747003754078,40
Dueling Double DQN,46721,-64.0,-174.29895598230453,32
Dueling Double DQN,46950,-64.0,-174.28957096695206,32
Dueling Double DQN,47179,-60.0,-170.3137344757062,30
Dueling Double DQN,47408,-96.0,-206.26977398618686,48
Dueling Double DQN,47637,-54.0,-164.29488955830257,27
Dueling Double DQN,47866,-96.0,-206.3032393854972,48
Dueling Double DQN,48095,-44.0,-154.29192776182458,32
Dueling Double DQN,48324,-86.0,-196.28361193449197,43
Dueling Double DQN,48553,-50.0,-160.30043210667736,35
Dueling Double DQN,48782,-54.0,-164.29575175146294,37
Dueling Double DQN,49011,-68.0,-178.28441503322944,34
Dueling Double DQN,49240,-46.0,-156.30359343541156,23
Dueling Double DQN,49469,-64.0,-174.2999221924963,42
Dueling Double DQN,49698,-74.0,-184.29819322210975,37
Dueling Double DQN,49927,-48.0,-158.1369693990905,24
Dueling Double DQN,50156,-50.0,-160.28601791384855,35
Dueling Double DQN,50385,-58.0,-168.29517770640666,39
Dueling Double DQN,50614,-68.0,-178.29795056229554,34
Dueling Double DQN,50843,-58.0,-168.28776594773117,29
Dueling Double DQN,51072,-68.0,-178.2945952848612,34
Dueling Double DQN,51301,-36.0,-146.29632100176204,28
Dueling Double DQN,51530,-60.0,-170.30565046056586,40
Dueling Double DQN,51759,-78.0,-188.28027082662126,49
Dueling Double DQN,51988,-60.0,-170.2966034724003,30
Dueling Double DQN,52217,-54.0,-164.2949716129208,37
Dueling Double DQN,52446,-68.0,-178.30140283043926,34
Dueling Double DQN,52675,-90.0,-200.2873366367614,45
Dueling Double DQN,52904,-56.0,-166.07562824803483,28
Dueling Double DQN,53133,-42.0,-152.3020728677685,31
Dueling Double DQN,53362,-72.0,-182.31723901023662,36
Dueling Double DQN,53591,-70.0,-180.294585557243,45
Dueling Double DQN,53820,-78.0,-188.2978176588,39
Dueling Double DQN,54049,-82.0,-192.28685942575865,41
Dueling Double DQN,54278,-68.0,-178.3254595187621,34
Dueling Double DQN,54507,-58.0,-168.30594998016778,29
Dueling Double DQN,54736,-64.0,-174.29442620687217,42
Dueling Double DQN,54965,-66.0,-176.27191740827493,43
Dueling Double DQN,55194,-92.0,-202.28523270872876,46
Dueling Double DQN,55423,-56.0,-166.27680964327618,28
Dueling Double DQN,55652,-78.0,-188.30603011790876,39
Dueling Double DQN,55881,-68.0,-178.31030323398852,34
Dueling Double DQN,56110,-56.0,-166.31583375435724,28
Dueling Double DQN,56339,-54.0,-164.30307969284326,27
Dueling Double DQN,56568,-44.0,-154.28794949252799,32
Dueling Double DQN,56797,-54.0,-164.3056304020122,27
Dueling Double DQN,57026,-68.0,-178.29385131241855,34
Dueling Double DQN,57255,-72.0,-182.29728226879263,36
Dueling Double DQN,57484,-58.0,-168.29571770224362,29
Dueling Double DQN,57713,-64.0,-174.30039319399464,42
Dueling Double DQN,57942,-48.0,-158.3008584868978,34
Dueling Double DQN,58171,-66.0,-176.29125698475005,33
Dueling Double DQN,58401,-38.0,-148.16608244632852,29
Dueling Double DQN,58630,-70.0,-180.2922233835401,35
Dueling Double DQN,58859,-52.0,-162.30184966627357,36
Dueling Double DQN,59088,-82.0,-192.3052060854218,41
Dueling Double DQN,59317,-50.0,-160.2939864487348,35
Dueling Double DQN,59546,-58.0,-168.30813235211087,39
Dueling Double DQN,59775,-74.0,-184.30265281797665,37
Dueling Double DQN,60004,-66.0,-176.276317899005,33
Dueling Double DQN,60233,-44.0,-154.31630079721037,32
Dueling Double DQN,60462,-64.0,-174.28648587015408,32
Dueling Double DQN,60691,-62.0,-172.30283058378046,41
Dueling Double DQN,60920,-88.0,-198.29223304721597,44
Dueling Double DQN,61149,-60.0,-170.2997243144399,30
Dueling Double DQN,61378,-54.0,-164.29762649270668,37
Dueling Double DQN,61607,-62.0,-172.28979731601854,31
Dueling Double DQN,61836,-76.0,-186.31797423127335,38
Dueling Double DQN,62065,-56.0,-166.30437800256408,28
Dueling Double DQN,62294,-82.0,-192.30363421864092,41
Dueling Double DQN,62523,-44.0,-154.28788775162744,32
Dueling Double DQN,62752,-76.0,-186.27702507514135,38
Dueling Double DQN,62981,-66.0,-176.2863000077903,33
Dueling Double DQN,63210,-46.0,-156.27874139200358,33
Dueling Double DQN,63439,-78.0,-188.29918222495866,39
Dueling Double DQN,63668,-80.0,-190.31559550625678,40
Dueling Double DQN,63897,-52.0,-162.30617546035455,26
Dueling Double DQN,64126,-62.0,-172.29885058644925,31
Dueling Double DQN,64355,-46.0,-156.29124257606267,23
Dueling Double DQN,64584,-84.0,-194.30733553922778,42
Dueling Double DQN,64813,-82.0,-192.2926687329832,41
Dueling Double DQN,65042,-56.0,-166.29046225036913,28
Dueling Double DQN,65271,-90.0,-200.29631626939624,45
Dueling Double DQN,65500,-54.0,-164.27862738032593,37
Dueling Double DQN,65729,-74.0,-184.29972217176982,37
Dueling Double DQN,65958,-48.0,-158.30711138788553,34
Dueling Double DQN,66187,-56.0,-166.313348761174,28
Dueling Double DQN,66416,-30.0,-140.28894482103465,25
Dueling Double DQN,66645,-58.0,-168.27911570521485,29
Dueling Double DQN,66874,-66.0,-176.29987289440697,33
Dueling Double DQN,67103,-88.0,-198.2796133381592,44
Dueling Double DQN,67332,-52.0,-162.30254881063803,26
Dueling Double DQN,67561,-54.0,-164.2959236523496,27
Dueling Double DQN,67790,-72.0,-182.29248795201994,36
